Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,15.120000,16.750000,14.090000,14.250000,14.250000,12759300
2020-09-24,14.180000,15.640000,14.105000,15.580000,15.580000,2554900
2020-09-25,15.830000,18.330000,15.766000,17.250000,17.250000,4579800
2020-09-28,17.450001,18.600000,17.450001,18.469999,18.469999,1289900
2020-09-29,18.879999,20.090000,18.600000,18.780001,18.780001,2071000
2020-09-30,19.580000,21.190001,19.580000,20.100000,20.100000,2182600
2020-10-01,21.750000,22.500000,20.700001,20.950001,20.950001,2580600
2020-10-02,21.000000,21.393999,19.410000,20.900000,20.900000,1801300
2020-10-05,21.340000,21.500000,19.799999,20.030001,20.030001,1076400
2020-10-06,20.980000,21.120001,18.000000,18.290001,18.290001,2242900
2020-10-07,18.660000,19.400000,18.420000,19.110001,19.110001,1206000
2020-10-08,19.490000,19.590000,18.250000,18.370001,18.370001,902000
2020-10-09,18.850000,19.270000,18.000000,18.110001,18.110001,862300
2020-10-12,18.209999,19.500000,18.200001,18.570000,18.570000,1196500
2020-10-13,18.590000,19.870001,18.510000,18.559999,18.559999,1760500
2020-10-14,18.600000,19.389999,18.350000,18.790001,18.790001,1203300
2020-10-15,18.330000,19.340000,18.309999,18.410000,18.410000,992600
2020-10-16,18.590000,19.830000,18.590000,19.200001,19.200001,1611300
2020-10-19,20.680000,21.270000,19.600000,20.059999,20.059999,4007000
2020-10-20,22.570000,23.940001,21.910000,22.969999,22.969999,9009900
2020-10-21,25.450001,26.146999,24.160000,24.639999,24.639999,4177000
2020-10-22,25.907000,26.430000,23.959999,24.020000,24.020000,3446400
2020-10-23,24.459999,25.480000,24.309999,24.670000,24.670000,2201900
2020-10-26,24.670000,25.350000,24.129999,24.480000,24.480000,1942900
2020-10-27,26.219999,26.448999,25.110001,25.790001,25.790001,2524500
2020-10-28,25.790001,26.600000,24.790001,25.080000,25.080000,3035700
2020-10-29,25.200001,25.750000,24.379999,24.799999,24.799999,1660100
2020-10-30,24.799999,25.139999,22.389999,24.040001,24.040001,2507000
2020-11-02,23.780001,24.600000,22.420000,22.969999,22.969999,1691300
2020-11-03,24.709999,25.500000,24.100000,24.990000,24.990000,3147300
2020-11-04,25.100000,27.430000,25.100000,26.580000,26.580000,3828400
2020-11-05,27.500000,28.740000,26.226000,27.780001,27.780001,2018900
2020-11-06,27.469999,27.969999,26.580000,27.080000,27.080000,1318600
2020-11-09,27.830000,28.000000,24.900000,26.320000,26.320000,2186300
2020-11-10,26.660000,28.250000,23.590000,27.990000,27.990000,3161600
2020-11-11,27.990000,29.500000,27.840000,29.139999,29.139999,1953800
2020-11-12,28.709999,29.090000,27.530001,28.350000,28.350000,1261500
2020-11-13,28.160000,29.360001,27.680000,29.180000,29.180000,1219800
2020-11-16,29.150000,31.200001,28.799999,30.260000,30.260000,2294200
2020-11-17,30.389999,32.799999,30.045000,32.099998,32.099998,1868000
2020-11-18,32.700001,36.869999,32.549999,35.090000,35.090000,3065500
2020-11-19,35.485001,38.980000,35.330002,37.900002,37.900002,3674600
2020-11-20,37.650002,40.900002,37.590000,40.330002,40.330002,2788000
2020-11-23,41.000000,45.689999,41.000000,45.320000,45.320000,3546300
2020-11-24,46.270000,51.369999,46.150002,51.259998,51.259998,3999600
2020-11-25,49.419998,50.180000,41.549999,42.799999,42.799999,8352400
2020-11-27,43.410000,44.700001,38.500000,38.770000,38.770000,5483600
2020-11-30,40.090000,40.439999,34.580002,37.980000,37.980000,8156600
2020-12-01,38.610001,42.650002,38.599998,40.230000,40.230000,5419700
2020-12-02,36.840000,37.400002,33.330002,34.599998,34.599998,7975700
2020-12-03,34.910000,36.980000,34.290001,36.299999,36.299999,3375000
2020-12-04,36.090000,36.250000,34.209999,35.680000,35.680000,3080800
2020-12-07,35.619999,38.380001,35.619999,37.669998,37.669998,2589200
2020-12-08,37.770000,39.279999,36.500000,37.099998,37.099998,2487100
2020-12-09,37.276001,38.180000,34.410000,35.500000,35.500000,2548200
2020-12-10,34.049999,35.400002,33.701000,34.869999,34.869999,1523600
2020-12-11,34.509998,34.799999,32.599998,33.259998,33.259998,2082000
2020-12-14,34.150002,36.290001,34.090000,35.910000,35.910000,2452700
2020-12-15,36.740002,36.750000,34.840000,35.160000,35.160000,1571900
2020-12-16,35.278999,37.470001,35.090000,37.470001,37.470001,2367800
2020-12-17,37.639999,39.869999,37.209999,39.759998,39.759998,3161500
2020-12-18,39.799999,40.439999,37.869999,38.700001,38.700001,5324900
2020-12-21,37.555000,41.840000,37.555000,41.599998,41.599998,3834400
2020-12-22,42.380001,44.049000,38.750000,40.950001,40.950001,4373000
2020-12-23,41.000000,41.700001,38.500000,38.830002,38.830002,2180500
2020-12-24,39.200001,39.240002,36.110001,36.349998,36.349998,1810700
2020-12-28,37.990002,40.400002,37.209999,38.959999,38.959999,3740100
2020-12-29,39.520000,39.529999,35.509998,35.520000,35.520000,3808700
2020-12-30,36.060001,37.150002,35.189999,36.889999,36.889999,1742300
2020-12-31,36.860001,37.700001,35.860001,36.220001,36.220001,1259300
2021-01-04,37.000000,37.000000,33.750000,34.750000,34.750000,2041600
2021-01-05,34.200001,36.349998,34.200001,35.900002,35.900002,1422600
2021-01-06,36.080002,38.799999,35.130001,37.889999,37.889999,3230500
2021-01-07,38.590000,40.000000,37.730000,39.430000,39.430000,1851300
2021-01-08,39.549999,40.410000,37.205002,38.310001,38.310001,1866600
2021-01-11,38.000000,42.200001,37.209999,39.189999,39.189999,3475400
2021-01-12,40.250000,42.419998,38.709999,41.990002,41.990002,2848800
2021-01-13,42.060001,44.599998,41.070000,42.200001,42.200001,3073400
2021-01-14,42.377998,43.279999,40.068001,40.299999,40.299999,1991800
2021-01-15,39.619999,40.200001,37.255001,38.130001,38.130001,2496600
2021-01-19,39.189999,39.500000,36.400002,37.730000,37.730000,2641900
2021-01-20,37.080002,37.389999,35.250000,36.000000,36.000000,3819900
2021-01-21,36.680000,36.900002,35.500000,36.730000,36.730000,3443200
2021-01-22,35.299999,38.900002,35.299999,38.380001,38.380001,10203300
2021-01-25,40.990002,41.990002,35.509998,39.259998,39.259998,7863000
2021-01-26,40.400002,40.900002,38.090000,38.430000,38.430000,4770900
2021-01-27,37.169998,49.599998,36.360001,40.990002,40.990002,14549800
2021-01-28,42.000000,42.950001,37.009998,38.180000,38.180000,5962300
2021-01-29,38.310001,40.445999,36.660000,37.779999,37.779999,3552500
2021-02-01,38.818001,39.700001,36.049999,37.270000,37.270000,3920200
2021-02-02,38.200001,39.264000,37.119999,38.290001,38.290001,3476800
2021-02-03,39.380001,43.299999,39.349998,42.840000,42.840000,5463200
2021-02-04,44.187000,46.700001,43.709999,44.980000,44.980000,4119400
2021-02-05,45.990002,46.160000,42.580002,45.230000,45.230000,3054300
2021-02-08,46.549999,48.299999,45.000000,45.990002,45.990002,4384400
2021-02-09,47.000000,48.290001,41.240002,44.700001,44.700001,7721500
2021-02-10,43.099998,44.500000,41.700001,42.674999,42.674999,3689400
2021-02-11,42.520000,42.748001,40.180000,42.250000,42.250000,3140200
2021-02-12,42.500000,44.360001,42.223000,43.049999,43.049999,2897900
2021-02-16,43.680000,44.250000,39.500000,40.040001,40.040001,3946300
2021-02-17,40.049999,40.889999,38.500000,40.529999,40.529999,2239700
2021-02-18,39.029999,39.950001,37.599998,38.470001,38.470001,2354200
2021-02-19,39.029999,39.750000,38.169998,39.020000,39.020000,2835600
2021-02-22,40.000000,42.150002,38.810001,40.709999,40.709999,4025200
2021-02-23,38.189999,38.625000,33.110001,38.349998,38.349998,4221400
2021-02-24,37.959999,39.700001,37.874001,38.660000,38.660000,1667400
2021-02-25,38.000000,38.980000,35.150002,36.310001,36.310001,2609300
2021-02-26,36.500000,37.558998,34.700001,35.840000,35.840000,1858600
2021-03-01,36.799999,37.650002,36.240002,36.950001,36.950001,1396700
2021-03-02,37.090000,37.400002,35.360001,35.450001,35.450001,1557400
2021-03-03,35.723000,36.000000,33.689999,34.410000,34.410000,1717200
2021-03-04,34.099998,34.509998,31.120001,32.700001,32.700001,3536000
2021-03-05,32.590000,32.590000,28.510000,31.840000,31.840000,3610400
2021-03-08,31.790001,33.879002,31.420000,31.830000,31.830000,2231400
2021-03-09,33.162998,33.880001,32.439999,33.599998,33.599998,1300300
2021-03-10,34.759998,34.910000,32.259998,33.139999,33.139999,1771300
2021-03-11,34.130001,34.250000,33.259998,33.860001,33.860001,1263000
2021-03-12,33.084999,34.150002,32.360001,34.080002,34.080002,1332500
2021-03-15,34.099998,34.450001,33.320000,34.450001,34.450001,1490700
2021-03-16,34.490002,35.560001,33.360001,34.180000,34.180000,1525500
2021-03-17,33.200001,34.509998,32.650002,34.250000,34.250000,948700
2021-03-18,33.419998,33.930000,31.680000,31.959999,31.959999,1642100
2021-03-19,32.209999,33.410000,31.549999,32.400002,32.400002,1437600
2021-03-22,32.902000,33.320000,32.058998,32.290001,32.290001,1138500
2021-03-23,32.365002,32.495998,31.320000,31.480000,31.480000,1185200
2021-03-24,32.119999,32.768002,30.709999,30.799999,30.799999,1297600
2021-03-25,29.600000,33.299999,29.510000,32.959999,32.959999,2182400
2021-03-26,32.849998,32.880001,31.139999,31.969999,31.969999,1231100
2021-03-29,31.750000,32.619999,31.209999,32.099998,32.099998,1406000
2021-03-30,32.000000,33.369999,31.320000,33.259998,33.259998,1425300
2021-03-31,33.459999,34.180000,32.709999,33.290001,33.290001,1088200
2021-04-01,33.770000,34.990002,33.560001,33.869999,33.869999,1442300
2021-04-05,34.500000,34.806000,33.590000,34.230000,34.230000,781500
2021-04-06,34.369999,35.860001,34.261002,34.660000,34.660000,907300
2021-04-07,34.500000,35.270000,34.000000,34.580002,34.580002,636200
2021-04-08,34.580002,34.900002,33.599998,34.430000,34.430000,588500
2021-04-09,34.099998,34.340000,33.209999,33.520000,33.520000,826600
2021-04-12,33.709999,34.060001,33.029999,33.669998,33.669998,656200
2021-04-13,33.380001,33.980000,33.360199,33.660000,33.660000,254965
