Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,15.120000,18.330000,14.090000,17.250000,17.250000,19894000
2020-09-28,17.450001,22.500000,17.450001,20.900000,20.900000,9925400
2020-10-05,21.340000,21.500000,18.000000,18.110001,18.110001,6289600
2020-10-12,18.209999,19.870001,18.200001,19.200001,19.200001,6764200
2020-10-19,20.680000,26.430000,19.600000,24.670000,24.670000,22842200
2020-10-26,24.670000,26.600000,22.389999,24.040001,24.040001,11670200
2020-11-02,23.780001,28.740000,22.420000,27.080000,27.080000,12004500
2020-11-09,27.830000,29.500000,23.590000,29.180000,29.180000,9783000
2020-11-16,29.150000,40.900002,28.799999,40.330002,40.330002,13690300
2020-11-23,41.000000,51.369999,38.500000,38.770000,38.770000,21381900
2020-11-30,40.090000,42.650002,33.330002,35.680000,35.680000,28007800
2020-12-07,35.619999,39.279999,32.599998,33.259998,33.259998,11230100
2020-12-14,34.150002,40.439999,34.090000,38.700001,38.700001,14878800
2020-12-21,37.555000,44.049000,36.110001,36.349998,36.349998,12198600
2020-12-28,37.990002,40.400002,35.189999,36.220001,36.220001,10550400
2021-01-04,37.000000,40.410000,33.750000,38.310001,38.310001,10412600
2021-01-11,38.000000,44.599998,37.209999,38.130001,38.130001,13886000
2021-01-18,39.189999,39.500000,35.250000,38.380001,38.380001,20108300
2021-01-25,40.990002,49.599998,35.509998,37.779999,37.779999,36698500
2021-02-01,38.818001,46.700001,36.049999,45.230000,45.230000,20033900
2021-02-08,46.549999,48.299999,40.180000,43.049999,43.049999,21833400
2021-02-15,43.680000,44.250000,37.599998,39.020000,39.020000,11375800
2021-02-22,40.000000,42.150002,33.110001,35.840000,35.840000,14381900
2021-03-01,36.799999,37.650002,28.510000,31.840000,31.840000,11817700
2021-03-08,31.790001,34.910000,31.420000,34.080002,34.080002,7898500
2021-03-15,34.099998,35.560001,31.549999,32.400002,32.400002,7044600
2021-03-22,32.902000,33.320000,29.510000,31.969999,31.969999,7034800
2021-03-29,31.750000,34.990002,31.209999,33.869999,33.869999,5361800
2021-04-05,34.500000,35.860001,33.209999,33.520000,33.520000,3740100
2021-04-12,33.709999,34.060001,33.029999,33.709999,33.709999,1396400
2021-04-14,33.549999,34.779999,33.520000,33.930000,33.930000,767524
